word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
edition ,8,1,14,18,32,8,8,16,14,18,32,8,,,
education ,10,1,18,26,44,10,10,20,18,26,44,10,,,
efforts ,8,1,16,18,34,8,8,16,16,18,34,8,,,
ego ,4,1,6,10,16,4,4,8,6,10,16,4,,,
eight ,6,1,12,13,25,6,6,12,12,13,25,6,,,
elections ,10,1,21,20,41,10,10,20,21,20,41,10,,,
electric ,9,1,18,21,39,9,9,18,18,21,39,9,,,
electrical ,11,1,21,28,49,11,11,22,21,28,49,11,,,
elephants ,10,1,22,20,42,10,10,20,22,20,42,10,,,
elevator ,9,1,12,26,38,9,9,18,12,26,38,9,,,
email ,6,1,12,14,26,6,6,12,12,14,26,6,,,
empire ,7,1,15,16,31,7,7,14,15,16,31,7,,,
employee ,9,1,20,21,41,9,9,18,20,21,41,9,,,
encouragement ,14,1,28,33,61,14,14,28,28,33,61,14,,,
end ,4,1,6,9,15,4,4,8,6,9,15,4,,,
engine ,7,1,13,15,28,7,7,14,13,15,28,7,,,
enlarged ,9,1,13,27,40,9,9,18,13,27,40,9,,,
enter ,6,1,9,11,20,6,6,12,9,11,20,6,,,
equation ,9,1,18,22,40,9,9,18,18,22,40,9,,,
etiquette ,10,1,18,22,40,10,10,20,18,22,40,10,,,
evening ,8,1,14,22,36,8,8,16,14,22,36,8,,,
eventually ,11,1,18,35,53,11,11,22,18,35,53,11,,,
ever ,5,1,5,16,21,5,5,10,5,16,21,5,,,
everybody ,10,1,20,32,52,10,10,20,20,32,52,10,,,
everyday ,9,1,13,32,45,9,9,18,13,32,45,9,,,
everywhere ,11,1,20,31,51,11,11,22,20,31,51,11,,,
exam ,5,1,11,12,23,5,5,10,11,12,23,5,,,
example ,8,1,18,21,39,8,8,16,18,21,39,8,,,
exasperation ,13,1,25,32,57,13,13,26,25,32,57,13,,,
exceed ,7,1,12,19,31,7,7,14,12,19,31,7,,,
excellent ,10,1,20,24,44,10,10,20,20,24,44,10,,,
excited ,8,1,15,21,36,8,8,16,15,21,36,8,,,
exciting ,9,1,20,23,43,9,9,18,20,23,43,9,,,
expectancy ,11,1,27,26,53,11,11,22,27,26,53,11,,,
expenses ,9,1,20,20,40,9,9,18,20,20,40,9,,,
explosion ,10,1,23,25,48,10,10,20,23,25,48,10,,,
express ,8,1,17,21,38,8,8,16,17,21,38,8,,,
extinct ,8,1,18,16,34,8,8,16,18,16,34,8,,,
extra ,6,1,9,16,25,6,6,12,9,16,25,6,,,
face ,5,1,10,11,21,5,5,10,10,11,21,5,,,
failure ,8,1,12,26,38,8,8,16,12,26,38,8,,,
fall ,5,1,9,15,24,5,5,10,9,15,24,5,,,
falling ,8,1,16,24,40,8,8,16,16,24,40,8,,,
fans ,5,1,11,10,21,5,5,10,11,10,21,5,,,
fast ,5,1,10,10,20,5,5,10,10,10,20,5,,,
favourite ,10,1,15,32,47,10,10,20,15,32,47,10,,,
february ,9,1,18,28,46,9,9,18,18,28,46,9,,,
feeling ,8,1,15,21,36,8,8,16,15,21,36,8,,,
fell ,5,1,9,14,23,5,5,10,9,14,23,5,,,
few ,4,1,10,8,18,4,4,8,10,8,18,4,,,
field ,6,1,10,18,28,6,6,12,10,18,28,6,,,
figure ,7,1,11,24,35,7,7,14,11,24,35,7,,,
file ,5,1,9,13,22,5,5,10,9,13,22,5,,,
finer ,6,1,11,14,25,6,6,12,11,14,25,6,,,
fingers ,8,1,16,21,37,8,8,16,16,21,37,8,,,
fish ,5,1,13,10,23,5,5,10,13,10,23,5,,,
flashing ,9,1,21,23,44,9,9,18,21,23,44,9,,,
flat ,5,1,9,12,21,5,5,10,9,12,21,5,,,
flavored ,9,1,13,31,44,9,9,18,13,31,44,9,,,
flying ,7,1,16,21,37,7,7,14,16,21,37,7,,,
fog ,4,1,8,11,19,4,4,8,8,11,19,4,,,
folds ,6,1,12,17,29,6,6,12,12,17,29,6,,,
follow ,7,1,17,18,35,7,7,14,17,18,35,7,,,
football ,9,1,21,21,42,9,9,18,21,21,42,9,,,
forest ,7,1,13,15,28,7,7,14,13,15,28,7,,,
forever ,8,1,11,25,36,8,8,16,11,25,36,8,,,
forward ,8,1,15,24,39,8,8,16,15,24,39,8,,,
fourth ,7,1,14,18,32,7,7,14,14,18,32,7,,,
free ,5,1,7,12,19,5,5,10,7,12,19,5,,,
frequently ,11,1,23,31,54,11,11,22,23,31,54,11,,,
freud ,6,1,8,21,29,6,6,12,8,21,29,6,,,
friend ,7,1,12,19,31,7,7,14,12,19,31,7,,,
friendly ,9,1,17,27,44,9,9,18,17,27,44,9,,,
front ,6,1,12,12,24,6,6,12,12,12,24,6,,,
fudge ,6,1,9,22,31,6,6,12,9,22,31,6,,,
full ,5,1,9,18,27,5,5,10,9,18,27,5,,,
fully ,6,1,12,22,34,6,6,12,12,22,34,6,,,
fun ,4,1,8,11,19,4,4,8,8,11,19,4,,,
futile ,7,1,12,20,32,7,7,14,12,20,32,7,,,
gallery ,8,1,13,27,40,8,8,16,13,27,40,8,,,
gamblers ,9,1,22,23,45,9,9,18,22,23,45,9,,,
game ,5,1,10,12,22,5,5,10,10,12,22,5,,,
gap ,4,1,8,12,20,4,4,8,8,12,20,4,,,
garbage ,8,1,15,24,39,8,8,16,15,24,39,8,,,
gel ,4,1,6,12,18,4,4,8,6,12,18,4,,,
generation ,11,1,19,25,44,11,11,22,19,25,44,11,,,
give ,5,1,7,18,25,5,5,10,7,18,25,5,,,
gives ,6,1,10,20,30,6,6,12,10,20,30,6,,,
glance ,7,1,14,18,32,7,7,14,14,18,32,7,,,
goes ,5,1,9,12,21,5,5,10,9,12,21,5,,,
going ,6,1,12,17,29,6,6,12,12,17,29,6,,,
goldilocks ,11,1,23,36,59,11,11,22,23,36,59,11,,,
golfers ,8,1,15,23,38,8,8,16,15,23,38,8,,,
gospel ,7,1,15,19,34,7,7,14,15,19,34,7,,,
got ,4,1,7,9,16,4,4,8,7,9,16,4,,,
government ,11,1,22,27,49,11,11,22,22,27,49,11,,,
governments ,12,1,25,29,54,12,12,24,25,29,54,12,,,
granite ,8,1,13,20,33,8,8,16,13,20,33,8,,,
greasy ,7,1,12,21,33,7,7,14,12,21,33,7,,,
great ,6,1,8,16,24,6,6,12,8,16,24,6,,,
grocery ,8,1,15,24,39,8,8,16,15,24,39,8,,,
grow ,5,1,11,14,25,5,5,10,11,14,25,5,,,
growing ,8,1,18,23,41,8,8,16,18,23,41,8,,,
guidelines ,11,1,19,34,53,11,11,22,19,34,53,11,,,
hamburger ,10,1,23,28,51,10,10,20,23,28,51,10,,,
hand ,5,1,10,11,21,5,5,10,10,11,21,5,,,
handicapped ,12,1,27,32,59,12,12,24,27,32,59,12,,,
handle ,7,1,13,17,30,7,7,14,13,17,30,7,,,
handled ,8,1,14,22,36,8,8,16,14,22,36,8,,,
hands ,6,1,13,13,26,6,6,12,13,13,26,6,,,
hate ,5,1,9,8,17,5,5,10,9,8,17,5,,,
having ,7,1,14,21,35,7,7,14,14,21,35,7,,,
