word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
ici;3;1341;27;9;36207;4023;;;
devenir;7;1339;55;21;73645;9373;;;
chose;5;1332;36;15;47952;6660;;;
besoin;6;1330;40;18;53200;7980;;;
appelee;7;1327;50;21;66350;9289;;;
principalement;14;1325;111;42;147075;18550;;;
romains;7;1322;55;21;72710;9254;;;
longtemps;9;1318;79;27;104122;11862;;;
seront;6;1318;43;18;56674;7908;;;
coree;5;1315;32;15;42080;6575;;;
scientifique;12;1315;101;36;132815;15780;;;
espece;6;1314;41;18;53874;7884;;;
heures;6;1313;52;18;68276;7878;;;
laquelle;8;1310;77;24;100870;10480;;;
troisieme;9;1310;83;27;108730;11790;;;
uvre;4;1310;38;12;49780;5240;;;
rapidement;10;1307;77;30;100639;13070;;;
enfin;5;1303;34;15;44302;6515;;;
force;5;1302;33;15;42966;6510;;;
conseil;7;1301;55;21;71555;9107;;;
proche;6;1300;41;18;53300;7800;;;
duc;3;1299;22;9;28578;3897;;;
nomme;5;1297;46;15;59662;6485;;;
produits;8;1296;66;24;85536;10368;;;
vivent;6;1294;56;18;72464;7764;;;
societe;7;1293;54;21;69822;9051;;;
ton;3;1287;19;9;24453;3861;;;
texte;5;1286;48;15;61728;6430;;;
nationale;9;1279;61;27;78019;11511;;;
presente;8;1277;58;24;74066;10216;;;
plantes;7;1275;53;21;67575;8925;;;
vote;4;1270;34;12;43180;5080;;;
er;2;1267;15;6;19005;2534;;;
idee;4;1263;31;12;39153;5052;;;
allemand;8;1257;66;24;82962;10056;;;
parler;6;1255;46;18;57730;7530;;;
derniere;8;1253;58;24;72674;10024;;;
nouvelles;9;1253;83;27;103999;11277;;;
dessus;6;1252;51;18;63852;7512;;;
nuit;4;1246;36;12;44856;4984;;;
religion;8;1241;69;24;85629;9928;;;
saison;6;1241;41;18;50881;7446;;;
utilise;7;1240;73;21;90520;8680;;;
presque;7;1240;55;21;68200;8680;;;
rapport;7;1239;46;21;56994;8673;;;
public;6;1238;51;18;63138;7428;;;
japon;5;1238;30;15;37140;6190;;;
interieur;9;1238;77;27;95326;11142;;;
peuple;6;1237;51;18;63087;7422;;;
regime;6;1237;57;18;70509;7422;;;
maniere;7;1233;55;21;67815;8631;;;
arrive;6;1231;49;18;60319;7386;;;
reine;5;1229;37;15;45473;6145;;;
super;5;1228;41;15;50348;6140;;;
sert;4;1227;34;12;41718;4908;;;
passer;6;1222;42;18;51324;7332;;;
naissance;9;1222;55;27;67210;10998;;;
pris;4;1221;34;12;41514;4884;;;
plein;5;1213;42;15;50946;6065;;;
politiques;10;1211;91;30;110201;12110;;;
droits;6;1207;49;18;59143;7242;;;
eleves;6;1205;56;18;67480;7230;;;
pape;4;1197;22;12;26334;4788;;;
xixe;4;1193;46;12;54878;4772;;;
simple;6;1192;62;18;73904;7152;;;
tant;4;1191;27;12;32157;4764;;;
asie;4;1186;30;12;35580;4744;;;
latin;5;1185;42;15;49770;5925;;;
surface;7;1185;51;21;60435;8295;;;
autriche;8;1184;65;24;76960;9472;;;
education;9;1183;62;27;73346;10647;;;
europeenne;10;1181;66;30;77946;11810;;;
nouveaux;8;1180;67;24;79060;9440;;;
philippe;8;1180;71;24;83780;9440;;;
regne;5;1180;35;15;41300;5900;;;
sens;4;1178;29;12;34162;4712;;;
