word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
plut;4;1362;21;8;28602;5448;;;
marie;5;1352;22;10;29744;6760;;;
films;5;1348;25;10;33700;6740;;;
argent;6;1343;28;12;37604;8058;;;
droite;6;1342;29;12;38918;8052;;;
mes;3;1342;12;6;16104;4026;;;
ados;4;1341;19;8;25479;5364;;;
ici;3;1341;14;6;18774;4023;;;
devenir;7;1339;32;14;42848;9373;;;
chose;5;1332;26;10;34632;6660;;;
besoin;6;1330;27;12;35910;7980;;;
appelee;7;1327;30;14;39810;9289;;;
principalement;14;1325;65;28;86125;18550;;;
romains;7;1322;32;14;42304;9254;;;
longtemps;9;1318;45;18;59310;11862;;;
seront;6;1318;26;12;34268;7908;;;
coree;5;1315;23;10;30245;6575;;;
scientifique;12;1315;55;24;72325;15780;;;
espece;6;1314;24;12;31536;7884;;;
heures;6;1313;27;12;35451;7878;;;
laquelle;8;1310;37;16;48470;10480;;;
troisieme;9;1310;39;18;51090;11790;;;
uvre;4;1310;20;8;26200;5240;;;
rapidement;10;1307;46;20;60122;13070;;;
enfin;5;1303;22;10;28666;6515;;;
force;5;1302;27;10;35154;6510;;;
conseil;7;1301;31;14;40331;9107;;;
proche;6;1300;34;12;44200;7800;;;
duc;3;1299;17;6;22083;3897;;;
nomme;5;1297;25;10;32425;6485;;;
produits;8;1296;40;16;51840;10368;;;
vivent;6;1294;30;12;38820;7764;;;
societe;7;1293;30;14;38790;9051;;;
ton;3;1287;15;6;19305;3861;;;
texte;5;1286;24;10;30864;6430;;;
nationale;9;1279;39;18;49881;11511;;;
presente;8;1277;32;16;40864;10216;;;
plantes;7;1275;30;14;38250;8925;;;
vote;4;1270;21;8;26670;5080;;;
er;2;1267;8;4;10136;2534;;;
idee;4;1263;16;8;20208;5052;;;
allemand;8;1257;37;16;46509;10056;;;
parler;6;1255;28;12;35140;7530;;;
derniere;8;1253;33;16;41349;10024;;;
nouvelles;9;1253;41;18;51373;11277;;;
dessus;6;1252;23;12;28796;7512;;;
nuit;4;1246;18;8;22428;4984;;;
religion;8;1241;38;16;47158;9928;;;
saison;6;1241;24;12;29784;7446;;;
utilise;7;1240;29;14;35960;8680;;;
presque;7;1240;32;14;39680;8680;;;
rapport;7;1239;37;14;45843;8673;;;
public;6;1238;33;12;40854;7428;;;
japon;5;1238;28;10;34664;6190;;;
interieur;9;1238;38;18;47044;11142;;;
peuple;6;1237;28;12;34636;7422;;;
regime;6;1237;28;12;34636;7422;;;
maniere;7;1233;29;14;35757;8631;;;
arrive;6;1231;28;12;34468;7386;;;
reine;5;1229;19;10;23351;6145;;;
