word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
sert;4;1227;16;8;19632;4908;;;
passer;6;1222;19;12;23218;7332;;;
naissance;9;1222;34;18;41548;10998;;;
pris;4;1221;15;8;18315;4884;;;
plein;5;1213;20;10;24260;6065;;;
politiques;10;1211;38;20;46018;12110;;;
droits;6;1207;18;12;21726;7242;;;
eleves;6;1205;21;12;25305;7230;;;
pape;4;1197;16;8;19152;4788;;;
xixe;4;1193;20;8;23860;4772;;;
simple;6;1192;25;12;29800;7152;;;
tant;4;1191;14;8;16674;4764;;;
asie;4;1186;15;8;17790;4744;;;
latin;5;1185;17;10;20145;5925;;;
surface;7;1185;24;14;28440;8295;;;
autriche;8;1184;31;16;36704;9472;;;
education;9;1183;30;18;35490;10647;;;
europeenne;10;1181;38;20;44878;11810;;;
nouveaux;8;1180;30;16;35400;9440;;;
philippe;8;1180;36;16;42480;9440;;;
regne;5;1180;27;10;31860;5900;;;
sens;4;1178;15;8;17670;4712;;;
noir;4;1172;19;8;22268;4688;;;
points;6;1171;21;12;24591;7026;;;
utiliser;8;1170;31;16;36270;9360;;;
celles;6;1168;21;12;24528;7008;;;
service;7;1166;23;14;26818;8162;;;
memes;5;1164;22;10;25608;5820;;;
uni;3;1162;14;6;16268;3486;;;
iles;4;1162;17;8;19754;4648;;;
situation;9;1161;30;18;34830;10449;;;
construction;12;1161;38;24;44118;13932;;;
petites;7;1159;23;14;26657;8113;;;
projet;6;1157;19;12;21983;6942;;;
gros;4;1156;15;8;17340;4624;;;
signifie;8;1151;29;16;33379;9208;;;
photo;5;1150;18;10;20700;5750;;;
henri;5;1147;22;10;25234;5735;;;
vite;4;1146;16;8;18336;4584;;;
action;6;1145;20;12;22900;6870;;;
displaystyle;12;1139;41;24;46699;13668;;;
gauche;6;1135;27;12;30645;6810;;;
blanc;5;1132;21;10;23772;5660;;;
catholique;10;1129;41;20;46289;11290;;;
russe;5;1125;20;10;22500;5625;;;
musee;5;1124;26;10;29224;5620;;;
facon;5;1123;21;10;23583;5615;;;
americain;9;1123;33;18;37059;10107;;;
club;4;1123;20;8;22460;4492;;;
compose;7;1117;28;14;31276;7819;;;
rencontre;9;1112;31;18;34472;10008;;;
production;10;1112;34;20;37808;11120;;;
date;4;1109;11;8;12199;4436;;;
rendre;6;1109;21;12;23289;6654;;;
conditions;10;1109;33;20;36597;11090;;;
decide;6;1109;20;12;22180;6654;;;
retour;6;1108;22;12;24376;6648;;;
choses;6;1106;24;12;26544;6636;;;
vivre;5;1105;21;10;23205;5525;;;
semaine;7;1101;25;14;27525;7707;;;
coupe;5;1099;20;10;21980;5495;;;
objets;6;1098;24;12;26352;6588;;;
fort;4;1096;14;8;15344;4384;;;
construit;9;1093;30;18;32790;9837;;;
cm;2;1092;12;4;13104;2184;;;
allemands;9;1091;33;18;36003;9819;;;
terme;5;1084;19;10;20596;5420;;;
pu;2;1084;10;4;10840;2168;;;
personnage;10;1078;32;20;34496;10780;;;
grec;4;1078;17;8;18326;4312;;;
culture;7;1078;26;14;28028;7546;;;
creation;8;1077;27;16;29079;8616;;;
main;4;1075;18;8;19350;4300;;;
appeles;7;1073;26;14;27898;7511;;;
voit;4;1067;17;8;18139;4268;;;
ancienne;8;1063;25;16;26575;8504;;;
genre;5;1063;18;10;19134;5315;;;
economique;10;1061;40;20;42440;10610;;;
romaine;7;1061;30;14;31830;7427;;;
aucun;5;1060;20;10;21200;5300;;;
forment;7;1060;28;14;29680;7420;;;
permettent;10;1057;33;20;34881;10570;;;
troupes;7;1056;27;14;28512;7392;;;
juste;5;1056;20;10;21120;5280;;;
zone;4;1055;18;8;18990;4220;;;
mise;4;1055;18;8;18990;4220;;;
printemps;9;1051;34;18;35734;9459;;;
vitesse;7;1050;25;14;26250;7350;;;
majorite;8;1047;29;16;30363;8376;;;
vue;3;1047;14;6;14658;3141;;;
desormais;9;1043;35;18;36505;9387;;;
six;3;1042;15;6;15630;3126;;;
elu;3;1041;11;6;11451;3123;;;
national;8;1040;28;16;29120;8320;;;
vraiment;8;1038;30;16;31140;8304;;;
pense;5;1036;19;10;19684;5180;;;
actuellement;12;1035;41;24;42435;12420;;;
difficile;9;1033;34;18;35122;9297;;;
climat;6;1033;24;12;24792;6198;;;
classe;6;1033;21;12;21693;6198;;;
feu;3;1032;15;6;15480;3096;;;
objet;5;1030;21;10;21630;5150;;;
idees;5;1030;23;10;23690;5150;;;
