word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
informations ,13,869,52,26,45188,11297,,,
dieux ,6,868,23,12,19964,5208,,,
moitie ,7,867,23,14,19941,6069,,,
arrivee ,8,867,33,16,28611,6936,,,
depart ,7,865,25,14,21625,6055,,,
jouer ,6,863,23,12,19849,5178,,,
forte ,6,863,23,12,19849,5178,,,
joueurs ,8,862,32,16,27584,6896,,,
femelle ,8,861,24,16,20664,6888,,,
fais ,5,856,18,10,15408,4280,,,
sait ,5,856,20,10,17120,4280,,,
peau ,5,855,18,10,15390,4275,,,
bretagne ,9,854,32,18,27328,7686,,,
problemes ,10,851,35,20,29785,8510,,,
demi ,5,851,12,10,10212,4255,,,
nee ,4,850,21,8,17850,3400,,,
emission ,9,850,30,18,25500,7650,,,
britanniques ,13,848,49,26,41552,11024,,,
domaine ,8,847,23,16,19481,6776,,,
insectes ,9,846,35,18,29610,7614,,,
video ,6,845,24,12,20280,5070,,,
americaine ,11,845,37,22,31265,9295,,,
commun ,7,843,27,14,22761,5901,,,
source ,7,843,27,14,22761,5901,,,
auteur ,7,842,31,14,26102,5894,,,
obtenir ,8,841,30,16,25230,6728,,,
juifs ,6,839,22,12,18458,5034,,,
contrairement ,14,837,50,28,41850,11718,,,
seuls ,6,836,23,12,19228,5016,,,
pieces ,7,835,22,14,18370,5845,,,
finale ,7,835,21,14,17535,5845,,,
heure ,6,833,23,12,19159,4998,,,
siege ,6,833,23,12,19159,4998,,,
modele ,7,830,21,14,17430,5810,,,
nourriture ,11,829,48,22,39792,9119,,,
pont ,5,829,23,10,19067,4145,,,
longueur ,9,827,32,18,26464,7443,,,
contient ,9,827,34,18,28118,7443,,,
toutefois ,10,825,40,20,33000,8250,,,
obtient ,8,821,31,16,25451,6568,,,
utilisee ,9,820,34,18,27880,7380,,,
pouvait ,8,820,31,16,25420,6560,,,
ciel ,5,813,15,10,12195,4065,,,
message ,8,813,25,16,20325,6504,,,
physique ,9,812,34,18,27608,7308,,,
arbres ,7,812,31,14,25172,5684,,,
comprendre ,11,811,35,22,28385,8921,,,
tels ,5,810,19,10,15390,4050,,,
territoires ,12,810,44,24,35640,9720,,,
fond ,5,810,20,10,16200,4050,,,
recoit ,7,808,29,14,23432,5656,,,
regles ,7,806,31,14,24986,5642,,,
images ,7,806,23,14,18538,5642,,,
